Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
62.0549922,-0.9776503,-6.016795,-8.610358,0.8463259,-0.5467432,-0.05542734,-18.73661,39.73371,2.029194,1019.846
62.06498194,-1.100643,-6.316848,-8.243488,0.8454816,-0.5512555,-0.04783016,-18.73661,39.73371,2.029194,1019.846
62.07497168,-1.408124,-4.996613,-8.549213,0.8462053,-0.5417967,-0.06011662,-18.73661,39.73371,2.029194,1019.846
62.08496141,-1.346627,-5.296666,-8.426924,0.832579,-0.5439003,-0.06393509,-18.73661,39.73371,2.029194,1019.847
62.09495163,-0.3626884,-5.896773,-8.488069,0.8256029,-0.53804,-0.07144623,-17.61652,39.74419,1.629589,1019.847
62.10494185,-0.9161541,-5.896773,-8.732648,0.8245617,-0.5388476,-0.08494863,-17.61652,39.74419,1.629589,1019.847
62.11493206,-0.3011922,-6.196826,-9.221808,0.8391051,-0.5328574,-0.07862755,-17.61652,39.74419,1.629589,1019.847
62.1249218,-0.1167036,-6.43687,-9.466388,0.8426717,-0.5383,-0.06963809,-17.61652,39.74419,1.629589,1019.845
62.13491154,-0.6086732,-6.616902,-9.649823,0.8451425,-0.543027,-0.07844706,-17.61652,39.74419,1.629589,1019.845
62.14490128,-2.207574,-7.33703,-10.07784,0.8512971,-0.5327084,-0.07629512,-18.72224,38.98805,2.027954,1019.845
62.15489149,-1.715605,-7.33703,-10.75043,0.8470514,-0.5146737,-0.07821199,-18.72224,38.98805,2.027954,1019.845
62.16488123,-1.592612,-8.057158,-11.17845,0.8476047,-0.5180897,-0.07782177,-18.72224,38.98805,2.027954,1019.847
62.17487097,-1.900093,-8.597255,-11.42303,0.8491259,-0.5219467,-0.07985789,-18.72224,38.98805,2.027954,1019.847
62.18486071,-2.26907,-8.477234,-11.97333,0.8578175,-0.5202469,-0.08757894,-18.72224,38.98805,2.027954,1019.847
62.19485092,-1.900093,-8.897308,-12.82936,0.8655052,-0.5156852,-0.09136594,-19.46776,38.98091,2.487804,1019.847
62.20484066,-0.9776503,-8.597255,-13.62425,0.8659742,-0.5142332,-0.08988648,-19.46776,38.98091,2.487804,1019.848
62.2148304,-0.547177,-8.537244,-14.60257,0.8800181,-0.5096295,-0.08986028,-19.46776,38.98091,2.487804,1019.848
62.22482109,-0.9161541,-8.357212,-15.51974,0.8848805,-0.5062578,-0.08113432,-19.46776,38.98091,2.487804,1019.848
62.23481083,-0.9776503,-8.477234,-16.55921,0.8799401,-0.5047746,-0.08780795,-19.46776,38.98091,2.487804,1019.848
62.24480057,0.5597545,-8.717277,-17.53753,0.8729945,-0.4989797,-0.09050367,-19.83475,38.60469,2.491423,1019.85
62.25479078,1.236213,-8.957319,-18.33241,0.8675669,-0.4979722,-0.09863154,-19.83475,38.60469,2.491423,1019.85
62.26478052,2.097159,-10.33757,-19.06615,0.8693382,-0.4863134,-0.09208077,-19.83475,38.60469,2.491423,1019.85
62.27477026,1.851174,-10.21754,-20.16676,0.8814644,-0.4813357,-0.08576986,-19.83475,38.60469,2.491423,1019.85
62.28476,2.835114,-10.03751,-21.20622,0.8838535,-0.4835437,-0.1002943,-19.83475,38.60469,2.491423,1019.845
62.29475021,3.019602,-10.15753,-22.00111,0.8941185,-0.4834696,-0.09457901,-19.45097,38.23494,2.873455,1019.845
62.30473995,1.60519,-9.617437,-22.73485,0.8944368,-0.4760687,-0.09968976,-19.45097,38.23494,2.873455,1019.845
62.31472969,0.8057392,-10.99768,-23.3463,0.888622,-0.4776268,-0.09920993,-19.45097,38.23494,2.873455,1019.845
62.32472038,1.60519,-11.29774,-23.83546,0.8828076,-0.4777794,-0.09435837,-19.45097,38.23494,2.873455,1019.848
62.33471012,2.035663,-10.81765,-24.32462,0.8917279,-0.4878205,-0.100456,-19.45097,38.23494,2.873455,1019.848
62.34469986,3.081098,-11.77782,-24.87492,0.8906994,-0.4858433,-0.1032888,-20.56507,37.91376,3.272543,1019.848
62.35469008,3.634564,-12.91803,-25.05836,0.8970708,-0.4867708,-0.09998234,-20.56507,37.91376,3.272543,1019.848
62.36467981,4.802992,-13.45812,-25.54752,0.9052662,-0.4841217,-0.1062305,-20.56507,37.91376,3.272543,1019.849
62.37466955,4.434015,-13.99822,-26.22011,0.8952777,-0.4724869,-0.110683,-20.56507,37.91376,3.272543,1019.849
62.38465929,4.802992,-13.21808,-26.83156,0.8981764,-0.4700485,-0.1072672,-20.56507,37.91376,3.272543,1019.849
62.39464951,4.311022,-13.09806,-27.74874,0.8892759,-0.4666121,-0.1182001,-21.30148,37.16162,2.892889,1019.849
62.40463924,5.110473,-13.51813,-28.84935,0.8881754,-0.4602615,-0.1194747,-21.30148,37.16162,2.892889,1019.845
62.41462898,5.602442,-13.03805,-29.52194,0.8909297,-0.4495449,-0.1143999,-21.30148,37.16162,2.892889,1019.845
62.42461872,6.2789,-13.99822,-30.31683,0.8780998,-0.4432836,-0.1218622,-21.30148,37.16162,2.892889,1019.845
62.43460894,5.909923,-15.43848,-31.17286,0.8902128,-0.4424962,-0.1305927,-21.30148,37.16162,2.892889,1019.845
62.44459915,7.754809,-16.27863,-31.84545,0.8907243,-0.4420727,-0.1252861,-21.97978,37.15444,4.125814,1019.846
62.45458937,9.661191,-18.49902,-32.82377,0.8960367,-0.4409577,-0.1296279,-21.97978,37.15444,4.125814,1019.846
62.46457911,10.82962,-17.77889,-32.94606,0.8978171,-0.4293186,-0.1216325,-21.97978,37.15444,4.125814,1019.846
62.47456884,12.36702,-17.71888,-33.37408,0.8934121,-0.4293382,-0.1249762,-21.97978,37.15444,4.125814,1019.846
62.48455858,11.44458,-17.65887,-33.6798,0.8965435,-0.4207212,-0.1445261,-21.97978,37.15444,4.125814,1019.843
62.4945488,10.89111,-17.47884,-33.98553,0.9002764,-0.4039062,-0.1200315,-23.09795,36.77179,3.686533,1019.843
62.50453854,11.56757,-17.65887,-33.92438,0.9054098,-0.4137724,-0.1073123,-23.09795,36.77179,3.686533,1019.843
62.51452828,12.42852,-17.47884,-34.96384,0.9214084,-0.4077472,-0.1019633,-23.09795,36.77179,3.686533,1019.843
62.52451849,11.38308,-15.13842,-34.04667,0.9015234,-0.3954557,-0.129457,-23.09795,36.77179,3.686533,1019.845
62.53450823,12.55151,-15.19843,-33.49636,0.8995939,-0.392713,-0.1178122,-23.09795,36.77179,3.686533,1019.845
62.54449797,12.61301,-14.77836,-33.49636,0.8923519,-0.3924909,-0.1061974,-24.20327,36.01559,4.149382,1019.845
62.55448866,10.21466,-15.0184,-33.06835,0.8908053,-0.392798,-0.1211288,-24.20327,36.01559,4.149382,1019.845
62.5644784,8.492764,-13.93821,-33.55751,0.8986208,-0.3885111,-0.104691,-24.20327,36.01559,4.149382,1019.848
62.57446814,8.06229,-13.27809,-33.25179,0.8995582,-0.3893551,-0.11339,-24.20327,36.01559,4.149382,1019.848
62.58445835,9.784184,-14.4783,-33.1295,0.8996906,-0.3966702,-0.1140608,-24.20327,36.01559,4.149382,1019.848
62.59444809,8.554259,-12.55796,-33.1295,0.899377,-0.3828723,-0.1233384,-25.69562,35.62955,3.71434,1019.848
62.60443783,9.107725,-13.39811,-32.70148,0.8868651,-0.3701471,-0.138826,-25.69562,35.62955,3.71434,1019.85
62.61442757,11.01411,-14.29827,-31.84545,0.8937732,-0.3527775,-0.1514313,-25.69562,35.62955,3.71434,1019.85
